RA,Dec,Vmag,Bmag,B-V
89.343951,28.873367,16.7796,17.619,0.8394
89.279976,28.872924,14.8281,15.6228,0.7947
89.786743,28.874617,16.525,17.3319,0.8069
89.645875,28.873476,15.6236,16.4187,0.7951
89.64588,28.873476,15.6236,16.4187,0.7951
89.594377,28.874278,17.761,18.594,0.833
89.414903,28.87277,16.6919,17.6156,0.9237
89.775465,28.873225,14.5936,15.6478,1.0542
89.614404,28.873806,17.6136,18.4466,0.833
89.463704,28.872003,13.9762,14.3598,0.3836
89.757273,28.873305,15.467,16.1507,0.6837
89.561289,28.873196,17.1667,18.2169,1.0502
89.537457,28.872839,16.5297,17.3181,0.7884
89.76486,28.873608,17.5846,18.3167,0.7321
89.489583,28.87227,17.3214,18.4288,1.1074
89.468916,28.872267,17.7828,18.3444,0.5616
89.485176,28.872093,17.5057,18.3608,0.8551
89.690077,28.872857,17.461,18.3498,0.8888
89.351474,28.870586,16.6133,17.6059,0.9926
89.716994,28.871917,17.1343,17.96,0.8257
89.415264,28.870736,17.0905,17.892,0.8015
89.283067,28.869855,17.0693,17.7706,0.7013
89.733723,28.871311,15.8038,16.7268,0.923
89.455358,28.869889,17.2347,18.276,1.0413
89.665555,28.86996,14.8624,15.3057,0.4433
89.726079,28.870474,17.3469,18.2255,0.8786
89.560833,28.869607,15.7811,16.4579,0.6768
89.322459,28.868741,16.8478,17.7188,0.871
89.415268,28.870736,17.0905,17.892,0.8015
89.783471,28.870057,16.9132,17.7629,0.8497
89.670797,28.870023,17.4237,18.2429,0.8192
89.564554,28.868859,14.9727,15.9098,0.9371
89.375791,28.868399,16.2767,17.0275,0.7508
89.659422,28.869398,16.8924,18.1,1.2076
89.568221,28.868216,13.7339,14.3078,0.5739
89.275022,28.867462,16.8043,17.5854,0.7811
89.818052,28.869568,17.6087,18.5353,0.9266
89.343028,28.868052,17.9042,18.7029,0.7987
89.493005,28.868164,16.6966,17.4386,0.742
89.587276,28.868611,17.7906,18.5707,0.7801
89.514887,28.867731,15.8721,16.6249,0.7528
89.315722,28.867366,17.6573,18.6349,0.9776
89.790821,28.868581,16.2874,17.0551,0.7677
89.696689,28.86862,17.194,18.1458,0.9518
89.665536,28.86996,14.8624,15.3057,0.4433
89.340914,28.866475,16.3959,17.6952,1.2993
89.660915,28.867593,15.8107,16.6116,0.8009
89.506708,28.866752,15.8764,16.6618,0.7854
89.697047,28.866484,14.8967,15.7756,0.8789
89.453339,28.866462,16.7602,17.5595,0.7993
89.537577,28.866419,15.7019,16.2555,0.5536
89.697071,28.866483,14.9001,15.7756,0.8755
89.265043,28.864727,16.6521,17.3932,0.7411
89.795134,28.866618,15.3877,16.1515,0.7638
89.780671,28.86659,15.7242,16.2455,0.5213
89.675717,28.865841,16.2275,16.9506,0.7231
89.568227,28.868203,13.734,14.3078,0.5738
89.514881,28.867729,15.8662,16.6249,0.7587
89.394875,28.86494,16.739,17.5333,0.7943
89.299315,28.864052,15.19,16.2692,1.0792
89.28904,28.864253,17.1821,17.9537,0.7716
89.260659,28.863671,15.6004,16.3982,0.7978
89.498622,28.865224,17.7181,18.3824,0.6643
89.41961,28.864659,17.0055,17.7945,0.789
89.361832,28.864487,17.5772,18.4531,0.8759
89.352488,28.864255,16.0947,16.8378,0.7431
89.306047,28.864207,17.4462,18.3037,0.8575
89.800196,28.865299,16.6207,17.2861,0.6654
89.630233,28.864971,17.2044,17.9648,0.7604
89.449033,28.864261,17.0575,17.8887,0.8312
89.792043,28.864435,15.5617,16.3353,0.7736
89.715218,28.864298,16.7368,17.6425,0.9057
89.728338,28.86337,13.952,14.5681,0.6161
89.460563,28.862493,16.126,16.8935,0.7675
89.271583,28.861299,16.6558,17.4769,0.8211
89.662495,28.862823,15.7753,16.9529,1.1776
89.747253,28.862894,15.8459,16.614,0.7681
89.693785,28.862321,14.2471,14.7404,0.4933
89.408827,28.862124,17.7807,18.7605,0.9798
89.65295,28.862543,17.1256,17.8574,0.7318
89.457926,28.861746,17.0196,17.9262,0.9066
89.432374,28.861017,16.7133,17.5973,0.884
89.333687,28.860131,16.4912,17.3162,0.825
89.591982,28.861281,16.8417,17.5336,0.6919
89.478323,28.860495,16.184,17.069,0.885
89.439751,28.860228,16.7968,17.9614,1.1646
89.382333,28.859688,17.5629,18.5638,1.0009
89.707554,28.8598,13.9466,15.1866,1.24
89.697729,28.859731,16.4605,17.1967,0.7362
89.364777,28.857673,16.428,17.2449,0.8169
89.375549,28.858606,17.6897,18.5956,0.9059
89.624687,28.859101,15.8774,16.9773,1.0999
89.796615,28.859719,17.8604,18.706,0.8456
89.594921,28.858293,14.2973,15.4891,1.1918
89.348312,28.857588,15.7796,16.843,1.0634
89.364743,28.857679,16.434,17.2449,0.8109
89.581856,28.858533,16.9443,17.799,0.8547
89.696908,28.857768,15.5488,16.0788,0.53
89.783988,28.857527,15.575,16.3077,0.7327
89.753208,28.857896,16.8672,17.6517,0.7845
89.415621,28.856618,17.1461,17.9037,0.7576
89.373773,28.855909,16.5323,17.7094,1.1771
89.691691,28.857135,17.2437,18.1322,0.8885
89.43225,28.855981,16.491,17.3064,0.8154
89.34913,28.855745,17.6016,18.1728,0.5712
89.691681,28.857134,17.2428,18.1322,0.8894
89.432282,28.855986,16.4871,17.3064,0.8193
89.778479,28.855868,14.794,15.4951,0.7011
89.615849,28.85568,15.5018,16.2473,0.7455
89.554555,28.855756,16.7531,17.42,0.6669
89.281949,28.854393,17.4614,18.2717,0.8103
89.316209,28.853994,17.0124,17.7313,0.7189
89.743078,28.855644,17.2484,18.4354,1.187
89.656753,28.855106,16.6799,17.4997,0.8198
89.576397,28.854123,15.2988,15.9228,0.624
89.576393,28.854123,15.2984,15.9228,0.6244
89.412412,28.853817,15.8937,16.6517,0.758
89.276106,28.853223,16.7279,17.5444,0.8165
89.733601,28.85524,17.229,18.0377,0.8087
89.527838,28.853957,16.7812,17.3024,0.5212
89.544006,28.853731,17.038,17.9041,0.8661
89.555187,28.852851,14.9654,15.6809,0.7155
89.634569,28.853134,16.8912,17.6105,0.7193
89.285365,28.851052,14.6222,15.2247,0.6025
89.72528,28.853299,16.7959,17.8251,1.0292
89.543993,28.853728,17.0588,17.9041,0.8453
89.321109,28.851425,16.6333,17.5572,0.9239
89.775558,28.852438,16.2335,16.9479,0.7144
89.632426,28.851545,13.8887,14.5909,0.7022
89.632415,28.851546,13.8887,14.5909,0.7022
89.53862,28.850757,14.1178,14.8922,0.7744
89.246458,28.850518,17.2418,18.4412,1.1994
89.753225,28.852426,17.3253,18.2904,0.9651
89.753228,28.852425,17.3252,18.2904,0.9652
89.434175,28.851502,17.6649,18.542,0.8771
89.794029,28.852128,16.1941,16.6837,0.4896
89.55035,28.850519,13.6547,14.5149,0.8602
89.824483,28.852158,17.4259,18.1533,0.7274
89.665999,28.851676,17.7546,18.6095,0.8549
89.615967,28.85139,17.1585,17.935,0.7765
89.545674,28.851124,17.6654,18.4703,0.8049
89.742138,28.851084,14.7297,15.819,1.0893
89.578854,28.850353,15.2608,16.4452,1.1844
89.482657,28.850078,15.2002,16.0711,0.8709
89.459133,28.849916,16.112,16.9761,0.8641
89.377691,28.850089,17.3738,18.2151,0.8413
89.685963,28.850244,16.2572,17.5142,1.257
89.783594,28.850497,17.2841,18.1148,0.8307
89.469901,28.849011,15.968,16.6955,0.7275
89.280418,28.848051,17.0074,17.7838,0.7764
89.767001,28.849518,15.4547,16.8187,1.364
89.650738,28.848811,15.5795,16.3458,0.7663
89.650768,28.84881,15.5829,16.3458,0.7629
89.467677,28.848798,16.8899,17.6963,0.8064
89.315009,28.847408,16.1542,17.0398,0.8856
89.607386,28.849064,17.5838,18.5169,0.9331
89.698547,28.847644,13.6181,14.5756,0.9575
89.389761,28.846574,13.5281,14.1138,0.5857
89.790199,28.848259,16.4725,17.1805,0.708
89.770728,28.848391,17.052,18.0264,0.9744
89.728269,28.848536,17.5494,18.3781,0.8287
89.681106,28.847854,17.3087,18.1727,0.864
89.510695,28.846514,15.3281,15.913,0.5849
89.429752,28.846608,17.4971,18.325,0.8279
89.266622,28.845444,16.8625,17.6428,0.7803
89.774554,28.847065,16.7747,17.6332,0.8585
89.521396,28.845901,17.6653,18.4057,0.7404
89.810697,28.846214,15.5556,16.1879,0.6323
89.709664,28.846344,16.6048,17.3485,0.7437
89.507895,28.843427,13.8162,14.5238,0.7076
89.507903,28.843433,13.8159,14.5238,0.7079
89.389792,28.846578,13.528,14.1138,0.5858
89.698562,28.847644,13.618,14.5756,0.9576
89.641295,28.845462,17.473,18.1482,0.6752
89.48274,28.844213,16.1805,17.1212,0.9407
89.482709,28.844218,16.181,17.1212,0.9402
89.439335,28.843792,14.7429,15.2151,0.4722
89.432471,28.844337,17.2332,18.1477,0.9145
89.312933,28.843598,16.5757,17.4007,0.825
89.243723,28.843091,17.8483,18.7442,0.8959
89.291788,28.842091,13.4481,14.3323,0.8842
89.2416,28.842409,16.5104,17.2877,0.7773
89.687455,28.844223,15.6277,17.0065,1.3788
89.472651,28.843049,13.9069,14.7501,0.8432
89.291787,28.84209,13.4481,14.3323,0.8842
89.315724,28.841604,17.1221,18.1112,0.9891
89.254496,28.840208,15.3041,16.4803,1.1762
89.313051,28.840807,16.8295,17.4783,0.6488
89.811232,28.842069,14.6524,14.9981,0.3457
89.553591,28.841756,16.8321,17.5633,0.7312
89.241536,28.840459,17.5374,18.6764,1.139
89.359497,28.839013,16.5102,17.2109,0.7007
89.672947,28.841295,17.177,18.1069,0.9299
89.783087,28.841465,17.2501,18.2265,0.9764
89.713096,28.841104,18.0115,18.5369,0.5254
89.544366,28.840175,16.2238,17.0075,0.7837
89.595134,28.840262,17.5104,18.1832,0.6728
89.461197,28.838822,15.0219,16.6319,1.61
89.359492,28.839015,16.5093,17.2109,0.7016
89.694423,28.840288,16.9922,17.8,0.8078
89.668408,28.840125,16.5519,17.618,1.0661
89.660003,28.840048,17.1414,18.1218,0.9804
89.558924,28.839519,17.1283,17.9298,0.8015
89.298281,28.838393,17.4967,18.187,0.6903
89.549044,28.838208,15.3262,16.071,0.7448
89.480934,28.837924,15.7735,16.808,1.0345
89.660915,28.838105,16.2204,17.1607,0.9403
89.738449,28.838379,16.7354,17.6704,0.935
89.344644,28.836374,15.5084,16.2834,0.775
89.64456,28.837731,17.4057,18.3929,0.9872
89.756351,28.836669,13.1873,13.8119,0.6246
89.638706,28.837464,16.9862,17.7763,0.7901
89.274586,28.835652,16.5913,17.4186,0.8273
89.247523,28.835186,17.0864,18.3643,1.2779
89.333152,28.835938,17.2142,18.0682,0.854
89.615745,28.836634,15.3064,15.9981,0.6917
89.384913,28.835845,16.6358,17.3613,0.7255
89.658859,28.836409,16.2118,17.214,1.0022
89.247515,28.835187,17.0864,18.3643,1.2779
89.300621,28.833436,15.2674,16.2235,0.9561
89.759751,28.834822,16.9173,17.7535,0.8362
89.75975,28.834822,16.9173,17.7535,0.8362
89.274145,28.832921,17.0371,17.9044,0.8673
89.647419,28.834184,16.8558,18.1602,1.3044
89.827299,28.833326,13.9692,14.3454,0.3762
89.762729,28.833898,16.1046,16.8196,0.715
89.762714,28.833901,16.1044,16.8196,0.7152
89.630581,28.833753,17.6418,18.7102,1.0684
89.543201,28.833016,15.9645,16.8952,0.9307
89.280224,28.831569,17.1909,17.884,0.6931
89.67399,28.832684,15.4968,16.3424,0.8456
89.428035,28.831525,16.7311,17.5908,0.8597
89.42805,28.831524,16.7309,17.5908,0.8599
89.67399,28.832684,15.4968,16.3424,0.8456
89.539456,28.831844,17.5736,18.5404,0.9668
89.615163,28.831727,16.0569,16.5882,0.5313
89.311646,28.830479,17.0184,17.8204,0.802
89.391655,28.828495,10.9591,11.2282,0.2691
89.553928,28.830524,17.0751,17.9745,0.8994
89.45762,28.829545,16.0657,17.1944,1.1287
89.818134,28.830632,16.9896,17.6462,0.6566
89.779628,28.830352,15.7705,16.7132,0.9427
89.64235,28.829452,14.7086,15.277,0.5684
89.386129,28.828319,15.2134,16.263,1.0496
89.375278,28.8289,16.6277,17.2788,0.6511
89.810311,28.8299,14.9629,15.6767,0.7138
89.386127,28.82832,15.2134,16.263,1.0496
89.824428,28.829776,16.4123,17.2032,0.7909
89.277309,28.82752,16.1666,17.4228,1.2562
89.363324,28.828168,17.3539,18.0396,0.6857
89.623192,28.828001,15.0099,15.5839,0.574
89.346909,28.827332,17.2004,18.1037,0.9033
89.802483,28.829084,17.3741,17.9834,0.6093
89.377109,28.827096,16.1767,17.0595,0.8828
89.35659,28.82735,17.1992,17.9104,0.7112
89.784635,28.827612,13.5796,14.226,0.6464
89.269791,28.824603,14.9241,16.1102,1.1861
89.779871,28.827307,17.1422,18.3172,1.175
89.269789,28.824605,14.9117,16.1102,1.1985
89.439772,28.825287,17.0098,17.814,0.8042
89.294115,28.823753,14.3077,15.1874,0.8797
89.443758,28.824678,15.876,16.6507,0.7747
89.443738,28.824681,15.8806,16.6507,0.7701
89.680017,28.825555,16.2069,16.802,0.5951
89.650288,28.825535,17.0692,17.7731,0.7039
89.490575,28.824302,15.8468,16.7647,0.9179
89.740865,28.824791,15.3191,16.0899,0.7708
89.812508,28.825073,16.7713,17.9659,1.1946
89.4831,28.82323,14.7485,15.9142,1.1657
89.455533,28.823852,17.3483,18.0486,0.7003
89.70961,28.824236,16.4515,17.1579,0.7064
89.4833,28.821375,15.6147,16.2999,0.6852
89.751049,28.823856,17.6285,18.3923,0.7638
89.584629,28.823098,17.5735,18.3838,0.8103
89.382067,28.821248,15.4405,16.3118,0.8713
89.349152,28.82105,15.908,17.1641,1.2561
89.498787,28.821918,17.0059,18.1079,1.102
89.683059,28.821962,15.1664,15.8197,0.6533
89.472174,28.820934,15.6809,16.4694,0.7885
89.30631,28.820345,16.6082,17.3961,0.7879
89.626114,28.821463,17.1545,18.1204,0.9659
89.661415,28.820206,15.6847,16.3706,0.6859
89.490536,28.820641,17.005,17.9276,0.9226
89.408852,28.820169,17.3011,17.8334,0.5323
89.244573,28.819031,16.825,17.5267,0.7017
89.661417,28.820206,15.6846,16.3706,0.686
89.558626,28.820007,16.1091,16.8874,0.7783
89.558635,28.820009,16.1089,16.8874,0.7785
89.590298,28.819831,17.7564,18.4555,0.6991
89.396,28.818846,17.089,18.0738,0.9848
89.712835,28.81988,17.6247,18.4296,0.8049
89.468256,28.818006,16.3794,17.302,0.9226
89.432908,28.817586,15.5428,16.1506,0.6078
89.635858,28.818348,17.4775,18.2709,0.7934
89.659584,28.818132,17.1703,18.1186,0.9483
89.806076,28.818093,16.8956,17.5198,0.6242
89.248398,28.815441,14.9362,15.7343,0.7981
89.603496,28.816854,15.9843,16.8678,0.8835
89.751487,28.81741,17.1421,17.8831,0.741
89.480756,28.816417,16.7144,17.5832,0.8688
89.368225,28.815368,15.9717,17.3783,1.4066
89.646416,28.816495,16.5813,17.2679,0.6866
89.524288,28.81596,16.2724,16.9996,0.7272
89.471041,28.815894,16.8514,17.8451,0.9937
89.288306,28.814664,17.1378,18.0303,0.8925
89.251692,28.814708,17.7987,18.6142,0.8155
89.760646,28.816504,16.5099,17.4979,0.988
89.635771,28.816257,17.7268,18.6546,0.9278
89.556142,28.815958,17.1771,17.9103,0.7332
89.284284,28.81379,16.4718,17.1321,0.6603
89.704908,28.815131,16.6765,17.9393,1.2628
89.622863,28.814981,16.7552,17.5768,0.8216
89.559654,28.813893,15.3345,15.8458,0.5113
89.536131,28.81445,17.3961,18.1452,0.7491
89.522828,28.814173,16.5849,18.0168,1.4319
89.773268,28.814662,17.5447,18.4539,0.9092
89.722611,28.813967,15.7534,16.3392,0.5858
89.335067,28.81223,15.5784,16.6033,1.0249
89.480598,28.81296,17.4603,18.4134,0.9531
89.318838,28.810883,14.2001,15.4088,1.2087
89.778586,28.813298,16.7551,17.5337,0.7786
89.454075,28.812088,16.6713,17.4631,0.7918
89.243155,28.811312,17.7641,18.5024,0.7383
89.744598,28.813041,16.5239,17.2083,0.6844
89.699887,28.813066,17.9856,18.6744,0.6888
89.667442,28.81214,14.7947,15.7229,0.9282
89.325911,28.811026,17.0614,18.0149,0.9535
89.390034,28.811116,17.7604,18.4384,0.678
89.774592,28.8122,17.0187,17.7606,0.7419
89.75255,28.812146,16.4196,17.4719,1.0523
89.749918,28.810917,13.8395,15.011,1.1715
89.678304,28.811716,16.9061,17.9324,1.0263
89.371574,28.810325,17.2987,18.5936,1.2949
89.289865,28.80944,14.024,14.8944,0.8704
89.76793,28.811733,16.8386,17.7376,0.899
89.62193,28.810945,15.4831,16.6076,1.1245
89.451453,28.810599,16.9845,17.7256,0.7411
89.44182,28.810463,17.632,18.5398,0.9078
89.705278,28.810539,17.6668,18.3772,0.7104
89.579986,28.810068,17.4616,18.4479,0.9863
89.465775,28.809501,17.4699,18.3194,0.8495
89.802838,28.809314,17.1429,18.1777,1.0348
89.625703,28.809167,15.79,16.376,0.586
89.526274,28.808727,16.17,16.9397,0.7697
89.802835,28.809315,17.1403,18.1777,1.0374
89.292121,28.806858,15.9174,17.2133,1.2959
89.771961,28.807943,13.8793,14.4865,0.6072
89.734096,28.808928,17.3154,18.0555,0.7401
89.567884,28.807251,13.285,13.6277,0.3427
89.64041,28.808257,15.9477,16.8107,0.863
89.520465,28.807892,17.1512,18.0177,0.8665
89.779956,28.808121,15.2757,16.4749,1.1992
89.522687,28.807412,17.6324,18.4824,0.85
89.243853,28.805498,15.9317,16.8206,0.8889
89.504161,28.806437,15.3704,16.7626,1.3922
89.522695,28.807411,17.6339,18.4824,0.8485
89.490986,28.806546,16.2823,17.0911,0.8088
89.263687,28.805247,16.1576,16.8594,0.7018
89.453184,28.806356,17.2803,18.3601,1.0798
89.450455,28.806087,16.4515,17.316,0.8645
89.410582,28.806155,17.7467,18.5478,0.8011
89.624889,28.806603,12.9717,13.4781,0.5064
89.751174,28.806113,16.1619,16.9059,0.744
89.702109,28.805803,15.5163,15.9929,0.4766
89.481661,28.805323,17.0562,18.0888,1.0326
89.345372,28.804718,16.9929,17.6616,0.6687
89.397603,28.804853,17.0866,18.1663,1.0797
89.245802,28.803317,15.3175,15.8455,0.528
89.810133,28.806191,17.6485,18.4534,0.8049
89.304644,28.803487,15.938,16.687,0.749
89.779451,28.805576,17.6087,18.3503,0.7416
89.63618,28.8049,16.882,17.7007,0.8187
89.527398,28.80427,15.4771,16.3741,0.897
89.81228,28.805343,17.5007,18.0487,0.548
89.658024,28.803672,13.2186,14.02,0.8014
89.610099,28.803796,13.8521,14.5767,0.7246
89.658009,28.803674,13.2193,14.02,0.8007
89.443335,28.802315,12.2253,12.6047,0.3794
89.38079,28.802185,13.3471,13.6966,0.3495
89.471445,28.803281,15.9028,16.808,0.9052
89.443327,28.802313,12.2253,12.6047,0.3794
89.430261,28.803253,17.0556,17.6945,0.6389
89.53722,28.802744,16.6623,17.5377,0.8754
89.537245,28.802743,16.6633,17.5377,0.8744
89.653497,28.803678,17.7139,18.6167,0.9028
89.797571,28.803562,16.8986,17.6915,0.7929
89.400711,28.802106,16.4916,17.3717,0.8801
89.293752,28.801664,17.5459,18.3184,0.7725
89.643706,28.802887,16.3246,17.1598,0.8352
89.272686,28.800586,16.501,17.8675,1.3665
89.447007,28.801243,15.8024,16.5397,0.7373
89.561155,28.801486,16.9274,17.747,0.8196
89.561154,28.801485,16.9275,17.747,0.8195
89.300272,28.799162,12.2017,12.5439,0.3422
89.571335,28.801024,16.5376,17.3119,0.7743
89.454434,28.800036,14.956,15.4568,0.5008
89.71058,28.801434,17.8066,18.3966,0.59
89.573515,28.799947,15.7228,16.2425,0.5197
89.537933,28.800191,17.4815,18.2426,0.7611
89.490203,28.800229,17.5853,18.3177,0.7324
89.434787,28.799246,15.1519,16.4915,1.3396
89.783613,28.801062,17.739,18.8691,1.1301
89.786181,28.800434,16.0958,16.8435,0.7477
89.568651,28.799749,17.4591,18.1025,0.6434
89.540074,28.799686,17.3209,18.1371,0.8162
89.461793,28.798832,16.1849,17.1306,0.9457
89.815805,28.800069,16.2521,16.7595,0.5074
89.774674,28.799866,17.1253,17.8964,0.7711
89.559542,28.799249,17.6478,18.8816,1.2338
89.356503,28.798158,17.3025,18.2259,0.9234
89.298468,28.797163,15.53,16.1367,0.6067
89.813779,28.79857,14.928,16.2875,1.3595
89.620652,28.79895,17.2364,18.1502,0.9138
89.444014,28.797819,16.4905,17.3139,0.8234
89.817788,28.796904,16.4931,17.2133,0.7202
89.771855,28.796626,17.7101,18.3758,0.6657
89.602593,28.796164,17.0678,17.9143,0.8465
89.539411,28.795396,15.7383,16.4589,0.7206
89.542846,28.794786,16.0956,17.2197,1.1241
89.347449,28.793348,13.9151,14.4213,0.5062
89.266336,28.793477,17.3741,18.3488,0.9747
89.750283,28.795262,16.3755,17.1971,0.8216
89.539419,28.795394,15.7386,16.4589,0.7203
89.433351,28.794446,17.1912,17.9929,0.8017
89.526975,28.794528,17.3002,18.2016,0.9014
89.756899,28.794655,15.0244,16.1637,1.1393
89.258491,28.793105,17.4957,18.3476,0.8519
89.680621,28.794354,17.6054,18.4468,0.8414
89.593051,28.793857,17.0293,17.9505,0.9212
89.322221,28.792346,16.5843,17.6087,1.0244
89.439255,28.792214,16.8481,18.2491,1.401
89.273966,28.790434,16.7841,17.6264,0.8423
89.473955,28.792125,16.7429,17.4656,0.7227
89.73116,28.79206,14.6887,15.1698,0.4811
89.791049,28.792808,17.5645,18.4856,0.9211
89.749945,28.79273,17.3331,18.2596,0.9265
89.477039,28.791723,17.132,17.9343,0.8023
89.359105,28.790745,14.7607,15.1971,0.4364
